Priority,Species,Category,Filename,BundlePath,Module,Description,LoopType,Duration_Target_Sec,Status,Assignee,Delivered_Date,Notes
P0,cat,Idle,Idle_Normal.mov,PetVideos/cat/Idle_Normal.mov,通用,正常呼吸待机,Loop,3-6,todo,,,首尾帧一致
P0,cat,Idle,Idle_Happy.mov,PetVideos/cat/Idle_Happy.mov,互动,开心摇尾/踩奶,Loop,3-6,todo,,,
P0,cat,Idle,Idle_Hungry.mov,PetVideos/cat/Idle_Hungry.mov,生理,饥饿趴下望食盆,Loop,3-6,todo,,,
P0,cat,Idle,Idle_Dirty.mov,PetVideos/cat/Idle_Dirty.mov,生理,脏/有异味嫌弃,Loop,3-6,todo,,,
P0,cat,Idle,Idle_Sick.mov,PetVideos/cat/Idle_Sick.mov,生理,生病虚弱,Loop,3-6,todo,,,
P0,cat,Transition,Normal_To_Happy.mov,PetVideos/cat/Normal_To_Happy.mov,互动,正常→开心,Once,0.4-0.8,todo,,,衔接Idle_Normal尾帧
P0,cat,Transition,Normal_To_Hungry.mov,PetVideos/cat/Normal_To_Hungry.mov,生理,正常→饥饿,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Tired.mov,PetVideos/cat/Normal_To_Tired.mov,生理,正常→疲惫,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Dirty.mov,PetVideos/cat/Normal_To_Dirty.mov,生理,正常→脏,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Sick.mov,PetVideos/cat/Normal_To_Sick.mov,生理,正常→生病,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Angry.mov,PetVideos/cat/Normal_To_Angry.mov,互动,正常→生气,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Cold.mov,PetVideos/cat/Normal_To_Cold.mov,互动,正常→冷淡,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Sleeping.mov,PetVideos/cat/Normal_To_Sleeping.mov,生理,正常→睡眠,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Reunion.mov,PetVideos/cat/Normal_To_Reunion.mov,互动,正常→重逢,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Playing.mov,PetVideos/cat/Normal_To_Playing.mov,互动,正常→玩耍,Once,0.4-0.8,todo,,,
P0,cat,Transition,Normal_To_Eating.mov,PetVideos/cat/Normal_To_Eating.mov,生理,正常→进食,Once,0.4-0.8,todo,,,
P0,cat,Action,Action_Feed.mov,PetVideos/cat/Action_Feed.mov,生理,喂食,Once,1.5-3,todo,,,代码已接入
P0,cat,Action,Action_Snack.mov,PetVideos/cat/Action_Snack.mov,生理,零食,Once,1.5-3,todo,,,代码已接入
P0,cat,Action,Action_Bath.mov,PetVideos/cat/Action_Bath.mov,生理,洗澡,Once,1.5-3,todo,,,代码已接入
P0,cat,Action,Action_Clean.mov,PetVideos/cat/Action_Clean.mov,生理,清理粪便,Once,1.5-3,todo,,,代码已接入
P0,cat,Action,Action_Pet.mov,PetVideos/cat/Action_Pet.mov,互动,抚摸,Once,1.5-3,todo,,,代码已接入
P0,cat,Action,Action_Play.mov,PetVideos/cat/Action_Play.mov,互动,玩耍,Once,1.5-3,todo,,,代码已接入
P0,dog,Idle,Idle_Normal.mov,PetVideos/dog/Idle_Normal.mov,通用,正常呼吸待机,Loop,3-6,todo,,,与cat同名
P0,dog,Idle,Idle_Happy.mov,PetVideos/dog/Idle_Happy.mov,互动,开心摇尾,Loop,3-6,todo,,,
P0,dog,Idle,Idle_Hungry.mov,PetVideos/dog/Idle_Hungry.mov,生理,饥饿趴下,Loop,3-6,todo,,,
P0,dog,Idle,Idle_Dirty.mov,PetVideos/dog/Idle_Dirty.mov,生理,脏/异味,Loop,3-6,todo,,,
P0,dog,Idle,Idle_Sick.mov,PetVideos/dog/Idle_Sick.mov,生理,生病虚弱,Loop,3-6,todo,,,
P0,dog,Transition,Normal_To_Happy.mov,PetVideos/dog/Normal_To_Happy.mov,互动,正常→开心,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Hungry.mov,PetVideos/dog/Normal_To_Hungry.mov,生理,正常→饥饿,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Tired.mov,PetVideos/dog/Normal_To_Tired.mov,生理,正常→疲惫,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Dirty.mov,PetVideos/dog/Normal_To_Dirty.mov,生理,正常→脏,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Sick.mov,PetVideos/dog/Normal_To_Sick.mov,生理,正常→生病,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Angry.mov,PetVideos/dog/Normal_To_Angry.mov,互动,正常→生气,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Cold.mov,PetVideos/dog/Normal_To_Cold.mov,互动,正常→冷淡,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Sleeping.mov,PetVideos/dog/Normal_To_Sleeping.mov,生理,正常→睡眠,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Reunion.mov,PetVideos/dog/Normal_To_Reunion.mov,互动,正常→重逢,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Playing.mov,PetVideos/dog/Normal_To_Playing.mov,互动,正常→玩耍,Once,0.4-0.8,todo,,,
P0,dog,Transition,Normal_To_Eating.mov,PetVideos/dog/Normal_To_Eating.mov,生理,正常→进食,Once,0.4-0.8,todo,,,
P0,dog,Action,Action_Feed.mov,PetVideos/dog/Action_Feed.mov,生理,喂食,Once,1.5-3,todo,,,代码已接入
P0,dog,Action,Action_Snack.mov,PetVideos/dog/Action_Snack.mov,生理,零食,Once,1.5-3,todo,,,代码已接入
P0,dog,Action,Action_Bath.mov,PetVideos/dog/Action_Bath.mov,生理,洗澡,Once,1.5-3,todo,,,代码已接入
P0,dog,Action,Action_Clean.mov,PetVideos/dog/Action_Clean.mov,生理,清理粪便,Once,1.5-3,todo,,,代码已接入
P0,dog,Action,Action_Pet.mov,PetVideos/dog/Action_Pet.mov,互动,抚摸,Once,1.5-3,todo,,,代码已接入
P0,dog,Action,Action_Play.mov,PetVideos/dog/Action_Play.mov,互动,玩耍,Once,1.5-3,todo,,,代码已接入
P0,both,Background,tuscany_day.png,Assets.xcassets/tuscany_day,场景,托斯卡纳白天客厅,Static,0,todo,,,1920x1080 WebP/PNG
P1,cat,Action,Action_Talk_Short.mov,PetVideos/cat/Action_Talk_Short.mov,对话,词汇期说话,Once,1.5-3,todo,,,代码已接入
P1,cat,Action,Action_Talk_Full.mov,PetVideos/cat/Action_Talk_Full.mov,对话,完整句说话,Once,2-4,todo,,,代码已接入
P1,cat,Action,Action_Memory_Recall.mov,PetVideos/cat/Action_Memory_Recall.mov,对话,回忆锚点,Once,2-3,todo,,,代码已接入
P1,cat,Idle,Idle_Listening.mov,PetVideos/cat/Idle_Listening.mov,对话,倾听主人,Loop,3-5,todo,,,代码已接入
P1,cat,Action,Action_Alarm_Wake.mov,PetVideos/cat/Action_Alarm_Wake.mov,助手,闹钟叫醒,Once,2-3,todo,,,代码已接入
P1,cat,Idle,Idle_Study_Companion.mov,PetVideos/cat/Idle_Study_Companion.mov,助手,自习陪伴,Loop,3-6,todo,,,代码已接入
P1,cat,Action,Action_Study_Cheer.mov,PetVideos/cat/Action_Study_Cheer.mov,助手,自习完成鼓励,Once,1.5-3,todo,,,代码已接入
P1,cat,Idle,Idle_Exercise_Companion.mov,PetVideos/cat/Idle_Exercise_Companion.mov,助手,运动陪伴,Loop,3-6,todo,,,代码已接入
P1,cat,Action,Action_Exercise_Cheer.mov,PetVideos/cat/Action_Exercise_Cheer.mov,助手,运动打卡庆祝,Once,1.5-3,todo,,,代码已接入
P1,cat,Action,Action_Schedule_Nudge.mov,PetVideos/cat/Action_Schedule_Nudge.mov,助手,日程提醒,Once,1.5-3,todo,,,代码已接入
P1,dog,Action,Action_Talk_Short.mov,PetVideos/dog/Action_Talk_Short.mov,对话,词汇期说话,Once,1.5-3,todo,,,代码已接入
P1,dog,Action,Action_Talk_Full.mov,PetVideos/dog/Action_Talk_Full.mov,对话,完整句说话,Once,2-4,todo,,,代码已接入
P1,dog,Action,Action_Memory_Recall.mov,PetVideos/dog/Action_Memory_Recall.mov,对话,回忆锚点,Once,2-3,todo,,,代码已接入
P1,dog,Idle,Idle_Listening.mov,PetVideos/dog/Idle_Listening.mov,对话,倾听主人,Loop,3-5,todo,,,代码已接入
P1,dog,Action,Action_Alarm_Wake.mov,PetVideos/dog/Action_Alarm_Wake.mov,助手,闹钟叫醒,Once,2-3,todo,,,代码已接入
P1,dog,Idle,Idle_Study_Companion.mov,PetVideos/dog/Idle_Study_Companion.mov,助手,自习陪伴,Loop,3-6,todo,,,代码已接入
P1,dog,Action,Action_Study_Cheer.mov,PetVideos/dog/Action_Study_Cheer.mov,助手,自习完成鼓励,Once,1.5-3,todo,,,代码已接入
P1,dog,Idle,Idle_Exercise_Companion.mov,PetVideos/dog/Idle_Exercise_Companion.mov,助手,运动陪伴,Loop,3-6,todo,,,代码已接入
P1,dog,Action,Action_Exercise_Cheer.mov,PetVideos/dog/Action_Exercise_Cheer.mov,助手,运动打卡庆祝,Once,1.5-3,todo,,,代码已接入
